STATIONCODE,LOCATION,STATE,MONTH,Temp,D.O._(mg/l),PH,CONDUCTIVITY_(µmhos/cm),TURBIDITY_(FNU),COLOR_(mgPt/L),ALKALINITY_(mmol/L),B.O.D._(mg/l),NITRATE,FECAL_COLIFORM_(MPN/100ml),Int_(cfu/100ml),CIPerf_(cfu/100_ml),TERMOTOL_COLIFORM_(cfu/100_ml),TOTAL_COLIFORM_(MPN/100ml)Mean,year
1444,OYEREN,STROMMEN,MAR,27.1,7.3,7.3,164,0.95,13,9,2.3,1,115,0.67,<1,<1,336,2014
2780,OYEREN,,MAR,26.3,7.6,7.4,122,1.03,13,9.5,2.4,1,223,0.72,<1,<1,834,2014
1894,OYEREN,,APR,28.3,6.5,7.1,95,1.03,13,10,1,0,156,0.58,<1,<1,212,2014
1892,OYEREN,,APR,27.9,6.5,7.1,56,1.12,18,10.5,1,0,30,0.53,<1,<1,79,2014
2423,OYEREN,STROMMEN,APR,23.4,7.5,7.8,237,1.19,18,11,1.4,0.89,8281,0.65,<1,<1,18918,2014
2424,OYEREN,STROMMEN,APR,23.5,7.6,7.6,3688,1.06,18,11.5,2.3,2.66,19264,0.73,<1,<1,32918,2014
2425,OYEREN,STROMMEN,APR,22.4,7.3,7.5,82,0.95,22,12,1.2,1.58,15816,0.65,<1,<1,17512,2014
2422,OYEREN,STROMMEN,APR,26.8,7.5,8,202,0.97,28,12.5,1.4,1.89,11771,0.81,<1,<1,23191,2014
1642,OYEREN,,APR,26.5,7.3,7.9,232,1.16,7,6.5,2.9,2.23,9026,0.98,<1,<1,30836,2014
1643,OYEREN,STROMMEN,MAY,22,7.4,7.9,246,1.1,7,6.9,2.3,1.9,1850,0.74,<1,<1,3900,2014
1455,OYEREN,STROMMEN,MAY,27.6,6.9,8.1,3960,1.16,7,6.3,2,2.26,19058,0.58,<1,<1,22523,2014
1456,OYEREN,STROMMEN,MAY,26.8,7,8,28222,1.12,,7.1,1.8,2.54,16613,0.69,<1,<1,10469,2014
2426,,STROMMEN,MAY,25.6,7.2,7.8,201,1,2,7.9,1.3,1.59,29937,0.59,<1,<1,31034,2014
2427,OYEREN,STROMMEN,MAY,26.5,7.3,8,221,1.07,2,8.7,1.2,2.26,16103,0.58,<1,<1,5289,2014
1685,OYEREN,STROMMEN,JUN,24,0,7.8,0,1.31,2,9.5,1,1,0,0.1,<1,<1,0,2014
2442,OYEREN,STROMMEN,JUN,28,8,7.7,401,1.3,2,10.3,0,1,0,0.64,<1,<1,0,2014
2443,OYEREN,STROMMEN,JUN,28,8,8.2,1886,1.23,11,11.1,4,1,0,0.65,<1,<1,0,2014
2444,OYEREN,STROMMEN,JUN,28,7,8.2,742,0.99,13,11.9,5,1,0,0.56,<1,<1,0,2014
2445,,STROMMEN,JUN,27,7,6.4,149,0.87,6,12.7,4,1,0,0.97,<1,<1,0,2014
1450,OYEREN,STROMMEN,JUN,27.8,6.7,7.5,1088,0.91,16,13.5,1.7,0,194,0.6,<1,<1,474,2014
1159,OYEREN,STROMMEN,JUN,23.4,7.2,6.5,73,0.86,2,,3.1,0,19,0.7,<1,<1,59,2014
1160,OYEREN,STROMMEN,JUL,25.4,6.7,6.3,98,1.09,2,,3.3,1.5,21,0.24,<1,<1,74,2014
1161,OYEREN,STROMMEN,JUL,26.3,6.3,6.5,143,0.96,11,,4,4,38,0.7,<1,<1,124,2014
1162,OYEREN,,JUL,29,6.6,6.9,260,0.97,13,,5.4,1,17,0.64,<1,<1,53,2014
1328,OYEREN,STROMMEN,JUL,24.6,7.1,6.3,71,0.97,6,,3.5,1,24,0.66,<1,<1,82,2014
1329,OYEREN,STROMMEN,JUL,23.5,6.9,6.3,65,0.86,6,,3.5,0,17,0.64,<1,<1,52,2014
1330,OYEREN,STROMMEN,JUL,29,7.3,7.1,607,1.03,6,,3.6,0.88,33,0.56,<1,<1,104,2014
3025,OYEREN,STROMMEN,JUL,27,6.1,7,446,0.95,,,5.2,0.56,26,0.68,<1,<1,77,2014
3026,OYEREN,,JUL,24,6.9,6.4,94,0.95,2,,3.2,1.59,20,0.2,<1,<1,65,2014
3027,OYEREN,,AUG,28.7,6.8,6.8,451,1,24,,9.4,0.55,22,0.57,<1,<1,58,2014
3028,OYEREN,STROMMEN,AUG,26.3,6,6.6,169,1.07,12,,3.9,2,22,0.66,<1,<1,84,2014
3029,OYEREN,STROMMEN,AUG,25.7,6.5,6.7,187,1.01,8,,3.3,3,32,0.64,<1,<1,113,2014
3023,,STROMMEN,AUG,26.8,3.4,7.8,2577,1.01,8,,164.9,1.5,148825783,0.64,<1,<1,160405392,2014
0,OYEREN,STROMMEN,AUG,0,0,0,0,1.04,8,,0,0,0,0.61,<1,<1,0,2014
1023,OYEREN,STROMMEN,AUG,23.3,5.5,7.2,636,1,8,,9.7,4,1328,0.58,<1,<1,4975,2014
1024,OYEREN,STROMMEN,AUG,22.8,4.7,7.3,1088,1.11,8,,23.8,4,28250,0.65,<1,<1,56000,2014
1295,OYEREN,STROMMEN,SEP,23.3,5.3,7.2,689,1.13,8,,11.3,4,1350,0.69,<1,<1,6025,2014
1473,OYEREN,STROMMEN,SEP,21.8,4.9,7.3,1267,1.01,15,,23.5,3,24750,0.65,<1,<1,54250,2014
1698,OYEREN,STROMMEN,SEP,24.3,5.3,7.4,852,1.23,15,,13,4,13775,0.43,<1,<1,26750,2014
1699,OYEREN,STROMMEN,SEP,23.5,4.9,7.5,977,1.06,15,,16.5,5,12375,0.6,<1,<1,30500,2014
1700,SEVELLE,STROMMEN,SEP,24,4.4,7.4,1256,1.07,15,,24.8,6,25250,0.63,<1,<1,55250,2014
1701,SEVELLE,STROMMEN,SEP,23.5,4.8,7.2,1021,0.97,,,20.3,4,22875,0.57,<1,<1,43700,2014
1702,SEVELLE,STROMMEN,SEP,23.3,5.1,7.3,971,1.03,,,14.8,5,2125,0.57,<1,<1,8425,2014
1703,SEVELLE,STROMMEN,SEP,22.5,4.6,7.4,1284,1.12,19,,24.3,4,21500,1.02,<1,<1,50000,2014
1704,,STROMMEN,OCT,26,4,7.4,1096,0.96,19,,26,3,31750,0.63,<1,<1,57500,2014
1705,,STROMMEN,OCT,25.8,4.4,7.3,1002,1.12,19,,21.5,4,21000,0.68,<1,<1,43750,2014
1025,,STROMMEN,OCT,0,0,6.9,910,1.22,16,,13,0,0,0.58,<1,<1,0,2014
1026,SEVELLE,STROMMEN,OCT,0,0,6.5,930,0.99,22,6.9,15,0,0,0.66,<1,<1,0,2014
1884,SEVELLE,STROMMEN,OCT,0,5,7.3,0,1.11,25,6.9,33.9,0,0,0.65,<1,<1,0,2014
1887,SEVELLE,STROMMEN,OCT,0,0,6.7,960,0.99,21,7.3,18,0,0,0.59,<1,<1,0,2014
1718,SEVELLE,STROMMEN,OCT,30.7,4.8,7.6,295,1.18,2,7.2,0.8,0,4,0.63,<1,<1,9,2014
1871,SEVELLE,STROMMEN,NOV,20.3,7.1,7.5,293,1.12,12,7.1,1.3,0,9,0.78,<1,<1,19,2014
2624,SEVELLE,STROMMEN,NOV,20.7,7.1,7.5,316,1.08,11,7.3,1.4,0,13,0.64,<1,<1,22,2014
2625,SEVELLE,,NOV,20.8,6.6,7.5,274,0.99,11,7.36,1.6,0,14,0.1,<1,<1,24,2014
1870,SEVELLE,,NOV,20.6,4.9,7.4,407,0.99,7,7.43,16.3,0,51,0.7,<1,<1,120,2014
2947,SEVELLE,,NOV,28,4.9,8.3,603,0.88,7,7.43,1,0,4,0.66,<1,<1,5,2014
1717,SEVELLE,,NOV,23.4,5.5,7.4,138,1.05,8,7.43,0.8,0,4,0.64,<1,<1,6,2014
2948,SEVELLE,,NOV,25.3,5.5,8.1,625,1.13,21,5.5,1.1,0,4,0.66,<1,<1,6,2014
1719,SEVELLE,STROMMEN,NOV,31.1,5,7.3,305,1.06,22,4.7,1.7,0,4,0.13,<1,<1,12,2014
2949,SEVELLE,STROMMEN,DEC,26.3,5.6,8.1,552,1.01,28,5.3,1.1,0,4,0.64,<1,<1,6,2014
3305,SEVELLE,STROMMEN,DEC,22,7.3,7.3,402,1.13,7,4.9,2.1,0,4,0.62,<1,<1,32,2014
3383,SEVELLE,STROMMEN,DEC,24.4,7.2,7.3,99,1.04,7,5.3,2.2,1,26,0.91,<1,<1,57,2014
3384,SEVELLE,STROMMEN,DEC,23.7,7.2,7.4,102,1.05,7,4.9,2.2,1,25,0.58,<1,<1,56,2014
3380,SEVELLE,STROMMEN,DEC,24.6,7.6,7.2,72,1.08,7,4.4,1.8,2.56,24,0.61,<1,<1,57,2014
1632,SEVELLE,STROMMEN,DEC,23.1,7.1,7.5,131,1.02,7,4.8,2.2,3.2,239,0.55,<1,<1,413,2014
1428,SEVELLE,STROMMEN,DEC,21.7,5.2,2.9,682,1.23,13,,7.8,1.5,16,0.63,<1,<1,30,2014
3369,BRUSDALSVATNET,ALESUND,JAN,18.2,7.3,7.1,47,1.02,13,,1.3,2,15,0.5,<1,<1,48,2014
3370,BRUSDALSVATNET,ALESUND,JAN,18.8,7.6,7.2,52,1.09,13,,1.2,2,16,0.6,<1,<1,36,2014
3371,BRUSDALSVATNET,ALESUND,JAN,23.8,8,6.9,64,1.14,18,,1.8,3.38,23,0.64,<1,<1,49,2014
3372,BRUSDALSVATNET,ALESUND,JAN,17.8,7.9,7.3,46,1.09,18,,1.4,1,12,0.66,<1,<1,29,2014
3373,BRUSDALSVATNET,ALESUND,FEB,18.7,7.4,7.2,53,1.05,18,,1.9,3,14,0.54,<1,<1,32,2014
3374,BRUSDALSVATNET,,FEB,18.8,7.7,7.2,55,1.06,22,,1.6,3,15,0.6,<1,<1,63,2014
3375,BRUSDALSVATNET,,FEB,21.3,6.8,2.7,1074,1.12,28,,3.2,2.33,4,0.69,<1,<1,11,2014
3376,BRUSDALSVATNET,,FEB,22.6,7.1,6.5,237,1.07,7,,3.8,4.56,674,0.18,<1,<1,1072,2014
3381,BRUSDALSVATNET,ALESUND,MAR,25.2,7.8,7.2,50,1.13,7,,1.6,1.77,20,0.66,<1,<1,41,2014
3382,BRUSDALSVATNET,ALESUND,MAR,24.8,7.3,7.3,71,1.08,7,,2,2.66,21,0.62,<1,<1,47,2014
3377,BRUSDALSVATNET,,MAR,19.9,7.3,7,91,1.12,11,,1.8,3.3,20,0.65,<1,<1,45,2014
3378,BRUSDALSVATNET,,APR,20.7,7.4,7.1,49,1.08,14,,1.7,2.44,19,0.56,<1,<1,42,2014
1631,BRUSDALSVATNET,ALESUND,APR,20.6,6.5,7.1,99,1.04,14,,2.7,3.56,1967,0.12,<1,<1,2722,2014
3379,BRUSDALSVATNET,ALESUND,APR,21.5,7.5,5.7,50,1.06,13,,1.5,2.21,10,0.68,<1,<1,23,2014
3367,BRUSDALSVATNET,ALESUND,APR,17.7,5.8,6.9,68,1.05,16,,3.1,4.9,197,0.63,<1,<1,463,2014
3368,BRUSDALSVATNET,ALESUND,APR,17.9,6.9,7.2,44,1.09,19,,1.4,2.66,14,0.61,<1,<1,33,2014
1633,BRUSDALSVATNET,ALESUND,MAY,23.9,7.8,7.3,93,1.23,17,,1.9,2.99,264,0.63,<1,<1,444,2014
3353,BRUSDALSVATNET,ALESUND,MAY,18,6.6,7,66,1.14,21,,2.3,4,29,0.65,<1,<1,63,2014
3354,BRUSDALSVATNET,ALESUND,MAY,18.4,7.6,7.1,53,1.16,22,,1.7,3,23,0.64,<1,<1,53,2014
3355,,ALESUND,MAY,18.8,7.8,7,47,1.15,28,,1.4,2,8,0.57,<1,<1,35,2014
3356,,ALESUND,MAY,24.8,7.7,7.4,128,1.04,7,,1.6,3.32,25,0.61,<1,<1,56,2014
3350,BRUSDALSVATNET,ALESUND,MAY,19.3,7.1,7,54,1.11,24,,1.8,2.58,20,0.68,<1,<1,43,2014
3351,,ALESUND,JUN,20.6,7.4,7,69,0.96,12,,1.6,3.3,17,0.71,<1,<1,87,2014
3352,BRUSDALSVATNET,ALESUND,JUN,20.7,7.5,7.2,58,1.03,8,,1.6,2.25,21,0.81,<1,<1,46,2014
3359,BRUSDALSVATNET,ALESUND,JUN,18.4,3.1,7.2,401,1.19,8,,21.8,19,22556,0.66,<1,<1,31444,2014
3360,BRUSDALSVATNET,ALESUND,JUN,19.1,4.7,7.2,202,1.1,8,,13.6,15,13444,0.82,<1,<1,20066,2014
3361,BRUSDALSVATNET,ALESUND,JUL,19.7,2.1,7.2,303,1.01,8,,37.2,18.2,39444,0.68,<1,<1,62333,2014
3362,BRUSDALSVATNET,ALESUND,JUL,20.1,1.8,7.2,394,1.16,8,,40.6,15.4,57222,0.55,<1,<1,96944,2014
3357,BRUSDALSVATNET,,AUG,17.6,7.2,6.9,55,1.12,8,,1.7,3.04,26,0.58,<1,<1,56,2014
3358,BRUSDALSVATNET,,AUG,22.7,7.9,7.1,55,1.15,15,,1.2,3.55,23,0.64,<1,<1,50,2014
3363,BRUSDALSVATNET,,SEP,17.9,6.9,6.9,52,1.1,15,,2.2,3.48,1576,0.65,<1,<1,45,2014
3364,BRUSDALSVATNET,,SEP,18.9,1.9,7,306,1.04,15,,34.2,17.9,48278,0.66,<1,<1,85667,2014
3365,BRUSDALSVATNET,ALESUND,SEP,19.4,4.5,7.1,196,1.07,15,,15.5,11,48611,0.65,<1,<1,43333,2014
1427,BRUSDALSVATNET,ALESUND,SEP,23.7,7.2,7.1,107,1.06,16,,6.7,5.56,303,,<1,<1,476,2014
3366,BRUSDALSVATNET,ALESUND,SEP,22.7,7.5,7,82,1.17,2,,2.1,3.02,45,0.68,<1,<1,122,2014
2050,BRUSDALSVATNET,ALESUND,OCT,23.6,7.1,7.5,189,1.09,2,,1.9,1,0,0.64,<1,<1,0,2014
2051,BRUSDALSVATNET,ALESUND,OCT,23.8,7,7.6,197,1.22,11,,1.8,1,0,0.62,<1,<1,0,2014
2052,BRUSDALSVATNET,ALESUND,OCT,23.5,7.2,7.9,158,1.06,13,,1.9,0.95,0,0.58,<1,<1,0,2014
2053,BRUSDALSVATNET,ALESUND,NOV,23.5,6.5,7.8,161,1.09,6,,1.8,0.99,0,0.61,<1,<1,0,2014
1403,BRUSDALSVATNET,ALESUND,NOV,27.4,6.6,7.7,165,0.99,6,,1.7,0,280,0.57,<1,<1,325,2014
1404,BRUSDALSVATNET,,DEC,21.9,6.7,7.8,167,1.12,6,,4.8,1,440,0.66,<1,<1,520,2014
1726,BRUSDALSVATNET,,DEC,27.5,6.6,7.7,183,1.11,,,3.7,1.55,415,0.61,<1,<1,575,2014
1393,MARIDASVANNET,OSLO,JAN,31,7.1,7.8,151,1.03,,,8,0.08,,0.62,<1,<1,,2013
1150,MARIDASVANNET,OSLO,JAN,28,7.2,7.4,319,1.15,,,0.7,0.18,5,0.62,<1,<1,10,2013
1865,MARIDASVANNET,,JAN,27,6.2,8.4,894,1.16,,,9,0.38,140,0.57,<1,<1,350,2013
1434,MARIDASVANNET,OSLO,FEB,30,2.2,8,1835,1.07,,,17.9,0.86,10478,0.66,<1,<1,25478,2013
1980,MARIDASVANNET,OSLO,FEB,31,2,7.7,3165,1.12,,,32.3,3.44,11498,0.7,<1,<1,15173,2013
1149,MARIDASVANNET,OSLO,FEB,29,2.4,7.6,1500,1,,,6.2,1.31,3,0.65,<1,<1,13,2013
1399,MARIDASVANNET,OSLO,FEB,31,5.9,7.2,52,1.06,,,2.1,0.08,,0.67,<1,<1,90,2013
1475,MARIDASVANNET,OSLO,MAR,30,6.1,6.8,408,1.11,7,,1.3,0.17,1300,0.62,<1,<1,3808,2013
3181,MARIDASVANNET,OSLO,MAR,30,5.5,6.9,143,1.19,7,,1.3,0.09,4100,0.64,<1,<1,11113,2013
3182,MARIDASVANNET,OSLO,APR,29,5.4,7.2,60,1.14,7,,1.5,0.08,428,0.67,<1,<1,2309,2013
1400,MARIDASVANNET,OSLO,APR,29,5.8,7.2,34,1.14,7,,5.3,0.17,855,0.12,<1,<1,3322,2013
1476,MARIDASVANNET,OSLO,APR,29,5.9,6.7,125,1.08,13,,1.5,0.14,1638,0.69,<1,<1,5793,2013
3185,MARIDASVANNET,OSLO,MAY,28,6.4,6.7,175,1.21,13,,1.3,0.1,772,0.69,<1,<1,3636,2013
3186,MARIDASVANNET,OSLO,MAY,30,6.2,7.7,39,1.12,13,,1.3,0.06,1296,0.17,<1,<1,4517,2013
3187,MARIDASVANNET,OSLO,JUN,30,6.1,7.8,39,1.18,18,,1.5,0.06,1032,0.6,<1,<1,5840,2013
1543,MARIDASVANNET,OSLO,JUN,27,7.3,6.9,61,1.17,18,,0.7,0.09,1430,0.87,<1,<1,4388,2013
1548,MARIDASVANNET,OSLO,JUL,28,6.8,6.6,71,1.13,18,,1.5,0.14,2495,0.65,<1,<1,3949,2013
2276,MARIDASVANNET,OSLO,AUG,29,7.4,6.5,129,1.22,22,,2.3,0.49,5868,0.1,<1,<1,16691,2013
2275,MARIDASVANNET,OSLO,AUG,28,7,6.8,503,1.08,28,,1.6,0.66,965,0.7,<1,<1,2404,2013
3189,MARIDASVANNET,OSLO,SEP,29,6.3,7.5,31,1.13,7,,1.6,0.06,1466,0.58,<1,<1,4267,2013
1546,MARIDASVANNET,OSLO,SEP,29,7.1,6.8,70,1.14,7,,0.8,0.17,716,0.66,<1,<1,3567,2013
2270,MARIDASVANNET,OSLO,OCT,30,7.3,6.8,69,1.14,7,,1.2,0.12,457,0.63,<1,<1,2446,2013
2272,MARIDASVANNET,OSLO,OCT,28,6.7,6.6,118,1.24,16,,1,0.22,1104,0.6,<1,<1,3496,2013
1545,MARIDASVANNET,OSLO,NOV,28,7.4,6.8,80,1.12,2,,1.3,0.06,274,0.61,<1,<1,1404,2013
2274,MARIDASVANNET,OSLO,NOV,29,4.5,6.6,250,1.14,2,,2.4,0.16,1572,0.63,<1,<1,5889,2013
2271,MARIDASVANNET,OSLO,DEC,28,6.1,6.9,74,1.17,11,,1.8,0.19,1074,0.67,<1,<1,3937,2013
2273,MARIDASVANNET,OSLO,DEC,30,5.9,7.3,44,1.12,13,,1.6,0.14,962,0.66,<1,<1,2794,2013
3183,MARIDASVANNET,OSLO,DEC,30,2.4,6.5,195,1.25,6,,4.8,0.35,7980,0.61,<1,<1,14217,2013
3184,SKJAERSJOELVA,OSLO,JAN,31,4,6.8,207,1.18,6,,1.8,0.34,818,0.6,<1,<1,2280,2013
3190,SKJAERSJOELVA,OSLO,JAN,29,5.4,7.6,40,1.13,6,,1.6,0.07,290,0.58,<1,<1,1330,2013
3191,SKJAERSJOELVA,OSLO,FEB,30,5.3,7.6,41,1.05,,,1.4,0.08,952,0.65,<1,<1,2517,2013
1547,SKJAERSJOELVA,,FEB,29,7,6.9,54,1.18,2,,0.8,0.21,667,0.62,<1,<1,3059,2013
3188,SKJAERSJOELVA,OSLO,MAR,29,5.9,7.7,44,0.97,2,8.2,2.1,0.08,1200,0.57,<1,<1,831,2013
1544,SKJAERSJOELVA,OSLO,MAR,29,7.1,6.5,60,1.03,2,7.2,1.7,0.13,2926,0.58,<1,<1,8163,2013
2651,SKJAERSJOELVA,OSLO,APR,29,6.9,7.7,99,1.11,2,8.4,3.3,0.56,53,0.65,<1,<1,123,2013
1461,SKJAERSJOELVA,OSLO,APR,30,6.6,7.9,123,1.2,11,6.5,3.2,0.52,44,0.62,<1,<1,104,2013
2653,SKJAERSJOELVA,OSLO,MAY,27,6.6,7.7,220,1.1,13,7,3.6,0.65,25,0.65,<1,<1,77,2013
2654,SKJAERSJOELVA,,JUN,27,6.8,7.7,219,1.15,6,6.2,3.4,0.63,23,0.1,2,<1,75,2013
1092,SKJAERSJOELVA,OSLO,JUL,27,4.8,7.2,5429,1.16,7,6.6,8.4,2.08,177,0.67,<1,<1,408,2013
2670,SKJAERSJOELVA,OSLO,AUG,23,6.4,8,493,1.2,7,6.1,4.2,3.91,17,0.66,<1,<1,68,2013
1152,SKJAERSJOELVA,OSLO,AUG,29,6.8,7.6,100,1.14,7,5.9,3,0.54,124,0.65,<1,<1,295,2013
2198,SKJAERSJOELVA,OSLO,SEP,29,6.7,7.5,316,1.08,7,6.3,4.6,0.6,47,,<1,<1,132,2013
2671,SKJAERSJOELVA,OSLO,SEP,28,5.8,7.9,37227,1.11,13,6.2,9.5,1.42,231,0.64,<1,<1,451,2013
2672,SKJAERSJOELVA,OSLO,OCT,29,6.9,7.7,84,1.03,13,6.9,3.1,0.42,69,0.65,<1,<1,168,2013
2168,SKJAERSJOELVA,OSLO,OCT,25,4.9,7.6,21254,1.09,13,6.9,55.5,2.18,560,0.62,<1,<1,964,2013
2676,SKJAERSJOELVA,OSLO,OCT,28,6.9,7.9,312,1.06,18,7.3,2.7,1.58,4,0.67,<1,<1,107,2013
1151,SKJAERSJOELVA,OSLO,OCT,29,6.8,7.5,146,1.09,18,7.2,3,0.6,124,0.58,<1,<1,241,2013
1462,SKJAERSJOELVA,OSLO,NOV,29,6.7,7.3,127,1.18,18,7.1,2.9,0.59,100,0.62,200.5,<1,209,2013
2685,SKJAERSJOELVA,OSLO,NOV,29,5.6,6.9,432,1.2,22,7.3,4.5,1.72,58,0.64,<1,<1,173,2013
2686,SKJAERSJOELVA,OSLO,DEC,29,6.5,7.3,126,1,28,,3,0.59,132,0.65,<1,<1,284,2013
2687,SKJAERSJOELVA,OSLO,DEC,30,7.1,7.5,128,0.97,7,,3,0.6,136,0.7,<1,<1,297,2013
2688,DAUSJOELVA,OSLO,JAN,30,6.4,7.3,129,0.97,7,,3.1,0.6,68,0.65,<1,<1,191,2013
2689,DAUSJOELVA,OSLO,JAN,29,6.9,7.7,129,0.99,7,,2.9,0.55,135,0.63,<1,<1,268,2013
2696,DAUSJOELVA,OSLO,JAN,25,7,7.9,153,1.01,16,7.3,2.9,0.55,30,0.54,<1,<1,86,2013
2199,DAUSJOELVA,OSLO,FEB,30,6.4,7.6,10165,1.04,2,7.7,3.7,2.14,5,0.11,<1,<1,139,2013
2701,DAUSJOELVA,OSLO,FEB,30,6.9,7.7,307,1.05,2,7.6,2.8,3.6,4,0.68,<1,<1,123,2013
2702,DAUSJOELVA,OSLO,FEB,31,6.3,7.7,322,1.01,11,6.2,3.5,1.1,4,0.58,<1,<1,116,2013
2703,DAUSJOELVA,OSLO,MAR,30,6.5,7.5,5835,0.96,13,7.2,3.4,1.72,4,0.56,<1,<1,126,2013
2704,DAUSJOELVA,OSLO,MAR,30,6.3,7.4,9245,1.09,6,7.4,4.7,2,4,0.64,<1,<1,134,2013
2706,DAUSJOELVA,OSLO,APR,28,6.5,8.1,1907,1.03,6,,4,0.55,46,0.1,<1,<1,115,2013
2707,DAUSJOELVA,OSLO,APR,28,7,8,1896,0.94,6,,3.5,0.64,190,0.34,<1,<1,245,2013
2708,DAUSJOELVA,OSLO,APR,28,7,8,206,1.04,,,2.9,0.56,31,0.12,<1,<1,74,2013
2709,DAUSJOELVA,OSLO,MAY,27,6.8,7.8,239,1.02,,,3.3,0.56,33,0.72,<1,<1,77,2013
1093,DAUSJOELVA,OSLO,MAY,27,6.4,7.6,152,1.01,,,3.2,0.96,62,0.71,<1,<1,142,2013
1094,DAUSJOELVA,OSLO,JUN,26,6.7,7.7,146,1.05,,,3,0.89,30,0.62,<1,<1,73,2013
2162,DAUSJOELVA,OSLO,JUN,27,6.7,7.6,137,1.08,,,2.9,0.76,24,0.67,<1,<1,64,2013
2712,,OSLO,JUN,28,6.6,7.8,228,1.06,,,3.5,0.57,30,0.69,<1,<1,79,2013
2164,,OSLO,JUL,23,7,7.7,409,1.06,,,2.4,0.93,4,0.6,<1,<1,112,2013
2713,DAUSJOELVA,OSLO,JUL,22,6.8,7.6,263,0.93,,,2.9,0.81,4,0.55,<1,<1,123,2013
2714,DAUSJOELVA,OSLO,AUG,23,6.9,7.5,338,1.05,15,,2.3,3.93,4,0.67,<1,<1,108,2013
1342,DAUSJOELVA,OSLO,AUG,26,7,7.2,79,0.98,17,,0.8,0.62,279,0.56,<1,<1,637,2013
1443,DAUSJOELVA,OSLO,AUG,26,6.6,7,67,1.05,117,,1.1,0.53,275,0.57,<1,<1,670,2013
3465,DAUSJOELVA,OSLO,AUG,26,6.6,7.3,59,0.91,17,,0.7,0.57,281,0.66,<1,<1,541,2013
3466,,OSLO,SEP,26,6.2,7.3,66,1.03,17,,0.8,0.55,303,0.55,<1,<1,609,2013
2297,,OSLO,SEP,26,7.1,7,67,1.01,18,,1,0.34,170,0.7,<1,<1,538,2013
2319,,OSLO,SEP,26,7,6.7,5341,0.94,18,,1.1,0.37,158,0.72,<1,<1,528,2013
2286,DAUSJOELVA,OSLO,SEP,29,6.7,7.3,89,1.02,18,,1.1,0.35,1163,0.63,<1,<1,2025,2013
2331,DAUSJOELVA,OSLO,OCT,28,6.2,7.3,136,1.14,11,,1,0.46,296,0.55,<1,<1,676,2013
2332,DAUSJOELVA,OSLO,OCT,28,7.1,8.1,212,0.9,11,,0.9,0.56,524,0.5,<1,<1,992,2013
1154,DAUSJOELVA,OSLO,OCT,29,6.3,6.3,134,0.86,11,,1.2,0.67,224,0.65,<1,<1,780,2013
20,DAUSJOELVA,OSLO,OCT,26,7.3,7.2,76,1.01,11,,0.6,0.31,468,0.7,<1,<1,893,2013
21,DAUSJOELVA,OSLO,OCT,26,7,7.3,11041,0.98,10,,0.9,0.29,256,0.77,<1,<1,503,2013
3464,DAUSJOELVA,OSLO,NOV,28,6.8,7.1,75,0.98,7,,0.8,0.5,693,0.29,<1,<1,1169,2013
1572,DAUSJOELVA,OSLO,NOV,29,7.4,7.2,61,1.01,7,,0.7,0.11,54,0.75,<1,<1,255,2013
1573,DAUSJOELVA,OSLO,NOV,28,1.7,6.6,769,1.02,9,,3.4,1.11,556,0.65,<1,<1,1717,2013
2295,DAUSJOELVA,OSLO,NOV,26,6.1,7.5,14083,0.95,5,,1.4,0.25,920,0.28,<1,<1,2686,2013
1564,DAUSJOELVA,OSLO,NOV,26,6.6,7.2,92,1.03,5,,0.8,0.77,332,0.67,<1,<1,660,2013
2287,DAUSJOELVA,OSLO,NOV,25,6.6,7.2,1348,1.16,5,,0.8,1.01,392,0.6,<1,<1,810,2013
1566,DAUSJOELVA,OSLO,DEC,29,6,6.7,95,1,5,,1.2,0.29,253,0.61,<1,<1,680,2013
2293,DAUSJOELVA,OSLO,DEC,29,6.6,6.8,78,1.03,12,,1,0.2,275,0.62,<1,<1,626,2013
2337,DAUSJOELVA,OSLO,DEC,28,0.6,6.7,268,1,12,,4.1,1.28,400,0.57,<1,<1,1308,2013
2338,DAUSJOELVA,OSLO,DEC,27,1.8,6.6,82,1.01,12,,2,0.39,399,0.57,<1,<1,1410,2013
42,DAUSJOELVA,OSLO,DEC,25,7.1,7.2,61,0.97,12,,1,0.34,251,0.58,<1,<1,608,2013
2294,SVARTEDIKET,,JAN,26,3.9,7.6,30298,0.93,19,,2.5,0.59,4830,0.56,<1,<1,7240,2013
3460,SVARTEDIKET,,JAN,27,6.6,8,310,1.17,20,,1.1,0.54,517,0.62,<1,<1,783,2013
3458,SVARTEDIKET,,JAN,27,7,7.1,97,1.13,22,,0.8,0.35,45,0.57,<1,<1,77,2013
1571,SVARTEDIKET,,FEB,29,7.3,7,51,1,20,6.9,0.7,0.18,65,0.61,<1,<1,258,2013
1155,SVARTEDIKET,,FEB,29,0.5,7.1,1717,1.14,21,6.9,21.2,4.41,3317,0.59,<1,<1,15833,2013
3471,SVARTEDIKET,,FEB,29,7,7.4,55,1.26,20,7.3,0.9,0.32,800,0.51,<1,<1,1400,2013
2289,SVARTEDIKET,BERGEN,FEB,29,6.1,6.8,67,1.03,19,7.2,1.1,0.58,80,0.55,<1,<1,394,2013
2301,SVARTEDIKET,BERGEN,MAR,27,7,6.7,61,1.03,22,7.1,1.3,0.28,168,0.6,<1,<1,248,2013
